#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/LKH/slices-tsp-rue-1000-3000, ascent_candidates, 0, 1, 1, 0, 100.0, 94.8, 84.8, 0.4, 1.056, 0.47532825079932783, -0.10911273668807944, 0.8787300197224962, 0.5045907043423145, 0.48660638669340645, 0.5233843895111592
scenarios/LKH/slices-tsp-rue-1000-3000, backbone_trials, 1, 0, 0, 0, 99.2, 47.199999999999996, 35.6, 14.000000000000002, 1.528, -0.24479414398662055, -0.3176098732033432, -0.15327828760202059, -0.11188150946808335, -0.1389891555132072, -0.08377674999479888
scenarios/LKH/slices-tsp-rue-1000-3000, extra_candidates, 1, 1, 1, 0, 100.0, 99.2, 96.8, 0.0, 1.008, 0.8629576487713679, 0.7348745768306925, 0.9241200995901735, 0.6342694049040185, 0.6145071276063093, 0.6531818474322877
scenarios/LKH/slices-tsp-rue-1000-3000, initial_step_size, 1, 1, 1, 0, 75.6, 98.0, 98.0, 0.8, 1.02, 0.27380953537580127, -0.1022159035807317, 0.7886453496973349, 0.3829789534748255, 0.34687888565073766, 0.41688203231010096
scenarios/LKH/slices-tsp-rue-1000-3000, max_candidates, 1, 1, 1, 0, 100.0, 98.4, 96.0, 0.0, 1.016, -0.13474983157077058, -0.23652617867414175, -0.015457293248001042, -0.027608582122472553, -0.050610875480198464, -0.005797673821990653
scenarios/LKH/slices-tsp-rue-1000-3000, move_type, 1, 1, 1, 0, 100.0, 100.0, 100.0, 1.2, 1.0, 0.9600157161309596, 0.8969960044962092, 0.9683999490075056, 0.7791438323745292, 0.7746776873636454, 0.7831692095983789
scenarios/LKH/slices-tsp-rue-1000-3000, patching_a, 0, 1, 1, 0, 0.0, 100.0, 100.0, 0.4, 1.0, 0.5678954600899774, -0.1705711528265731, 0.9672049704303219, 0.44745868138136236, 0.4116453223232624, 0.4836557846960685
scenarios/LKH/slices-tsp-rue-1000-3000, patching_c, 0, 1, 1, 0, 67.6, 100.0, 100.0, 0.4, 1.0, 0.6630525428769719, -0.16449207892488307, 0.8888980690589331, 0.4674784891984543, 0.42867723809020003, 0.5040694503038237
scenarios/LKH/slices-tsp-rue-1000-3000, population_size, 0, 1, 1, 0, 2.0, 100.0, 100.0, 0.4, 1.0, 0.279329827901715, -0.34315775016169314, 0.5539255859910304, 0.14846405856529338, 0.12041275297374722, 0.17677149452428892
scenarios/EAX/slices-tsp-rue-1000-3000, nch, 1, 1, 1, 0, 100.0, 100.0, 74.8, 0.0, 1.0, 0.6686057903555286, 0.09623766515282324, 0.9500220650520683, 0.7957661957093934, 0.7824052488685026, 0.8088083260455232
