#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/LKH/slices-tsp-rue-1000-3000, ascent_candidates, 0, 1, 1, 0, 100.0, 94.4, 85.6, 0.4, 1.06, 0.495237951719, -0.105978346966, 0.885335333058, 0.504380145429, 0.486435066467, 0.524605916611
scenarios/LKH/slices-tsp-rue-1000-3000, backbone_trials, 1, 0, 0, 0, 99.2, 44.4, 34.8, 14.4, 1.556, -0.245415101, -0.315837158071, -0.15283585398, -0.111686337666, -0.13916260205, -0.0859410916117
scenarios/LKH/slices-tsp-rue-1000-3000, extra_candidates, 1, 1, 1, 0, 100.0, 99.6, 97.6, 0.0, 1.004, 0.864995203044, 0.729861059688, 0.928223512222, 0.634283400431, 0.614324486174, 0.653430270248
scenarios/LKH/slices-tsp-rue-1000-3000, initial_step_size, 0, 1, 1, 0, 77.2, 97.6, 97.2, 0.4, 1.024, 0.272312140258, -0.137732991031, 0.834244946218, 0.383729906923, 0.348040101877, 0.419524021213
scenarios/LKH/slices-tsp-rue-1000-3000, max_candidates, 1, 1, 1, 0, 100.0, 99.2, 96.8, 0.0, 1.008, -0.133775318864, -0.23712244057, -0.0195957163074, -0.0277785925477, -0.0492394568267, -0.00556100160983
scenarios/LKH/slices-tsp-rue-1000-3000, move_type, 1, 1, 1, 0, 100.0, 100.0, 100.0, 1.2, 1.0, 0.959978859959, 0.898027348873, 0.968166275096, 0.779083128544, 0.774683296682, 0.783206897798
scenarios/LKH/slices-tsp-rue-1000-3000, patching_a, 0, 1, 1, 0, 0.0, 100.0, 100.0, 0.4, 1.0, 0.578252095229, -0.101311156293, 0.961235619817, 0.447222117253, 0.408377605874, 0.481563300334
scenarios/LKH/slices-tsp-rue-1000-3000, patching_c, 0, 1, 1, 0, 66.8, 100.0, 100.0, 0.4, 1.0, 0.626473790887, -0.162615571423, 0.889233858578, 0.468949463145, 0.434037519202, 0.507577110782
scenarios/LKH/slices-tsp-rue-1000-3000, population_size, 0, 1, 1, 0, 1.6, 100.0, 100.0, 0.4, 1.0, 0.276953612121, -0.356878705625, 0.549621668591, 0.144512982042, 0.117432018976, 0.175178172515
scenarios/CaDiCaL/slices-BMC08, compactint, 0, 1, 1, 0, 85.6545961003, 89.2757660167, 81.6155988858, 10.4456824513, 1.16991643454, 0.123920435962, -0.272372271454, 0.496469751567, 0.22701247036, 0.212668432392, 0.242468848003
scenarios/CaDiCaL/slices-BMC08, compactlim, 0, 1, 1, 0, 81.1977715877, 98.6072423398, 96.5181058496, 10.4456824513, 1.01532033426, 0.565414935771, 0.133911893566, 0.841494917262, 0.272773848133, 0.255542773882, 0.290807269966
scenarios/CaDiCaL/slices-BMC08, compactmin, 0, 1, 1, 0, 81.1977715877, 99.860724234, 99.4428969359, 10.5849582173, 1.00139275766, 0.223404693802, -0.235416276992, 0.653163577841, 0.158716523038, 0.142790550166, 0.176533602081
scenarios/CaDiCaL/slices-BMC08, decomposerounds, 0, 1, 1, 0, 80.2228412256, 99.860724234, 98.0501392758, 10.5849582173, 1.00139275766, 0.341703364136, -0.178605883661, 0.694282334166, 0.20174262115, 0.186892911419, 0.21800916687
scenarios/CaDiCaL/slices-BMC08, elimclslim, 0, 1, 1, 0, 79.9442896936, 99.3036211699, 97.4930362117, 10.5849582173, 1.00835654596, 0.550533543794, -0.0746028120641, 0.791989457699, 0.162404623504, 0.146517522965, 0.179024888721
scenarios/CaDiCaL/slices-BMC08, eliminit, 0, 1, 1, 0, 86.0724233983, 93.8718662953, 76.4623955432, 10.4456824513, 1.06406685237, 0.686986179703, -0.0309877505876, 0.953982926775, 0.353845821511, 0.337293551915, 0.371365249292
scenarios/CaDiCaL/slices-BMC08, elimint, 0, 1, 1, 0, 84.8189415042, 91.2256267409, 88.0222841226, 10.4456824513, 1.12534818942, 0.070867946193, -0.285545402391, 0.52783930426, 0.142149171713, 0.124731359494, 0.160591318984
scenarios/CaDiCaL/slices-BMC08, elimocclim, 0, 1, 1, 0, 80.7799442897, 96.1002785515, 90.5292479109, 10.4456824513, 1.06406685237, 0.0249286561882, -0.368782173228, 0.514389705361, 0.173849735978, 0.157982109865, 0.189586789366
scenarios/CaDiCaL/slices-BMC08, elimrounds, 0, 1, 1, 0, 81.1977715877, 95.1253481894, 90.2506963788, 10.4456824513, 1.06267409471, 0.175240741652, -0.311482644487, 0.767300659232, 0.221105797027, 0.20354528436, 0.235833167173
scenarios/CaDiCaL/slices-BMC08, elimroundsinit, 0, 1, 1, 0, 85.2367688022, 94.0111420613, 78.1337047354, 10.3064066852, 1.06545961003, 0.00809060347986, -0.369332418639, 0.664059351446, 0.194260706129, 0.179435940619, 0.210056126633
scenarios/CaDiCaL/slices-BMC08, emagluefast, 0, 1, 1, 0, 88.3008356546, 65.1810584958, 51.5320334262, 10.4456824513, 1.6364902507, 0.743634191023, 0.335634024073, 0.922895553558, 0.332042282915, 0.320485237882, 0.343969808205
scenarios/CaDiCaL/slices-BMC08, emaglueslow, 0, 1, 1, 0, 84.9582172702, 93.0362116992, 90.6685236769, 10.4456824513, 1.10306406685, 0.438455415834, -0.407653559883, 0.748576398329, 0.223509286027, 0.206498959356, 0.240499473301
scenarios/CaDiCaL/slices-BMC08, emajump, 0, 1, 1, 0, 77.9944289694, 100.0, 99.860724234, 10.5849582173, 1.0, 0.0950619182514, -0.292349034849, 0.520882137956, 0.154216578106, 0.136685536375, 0.173090534795
scenarios/CaDiCaL/slices-BMC08, emasize, 0, 1, 1, 0, 78.2729805014, 100.0, 99.860724234, 10.5849582173, 1.0, 0.29113434666, -0.226744559633, 0.686093254338, 0.155874037264, 0.138567155444, 0.173968793957
scenarios/CaDiCaL/slices-BMC08, hbrsizelim, 0, 1, 1, 0, 79.3871866295, 98.3286908078, 97.4930362117, 10.5849582173, 1.02228412256, 0.146150990266, -0.331036775901, 0.627351385663, 0.15586695257, 0.138811821498, 0.173072854499
scenarios/CaDiCaL/slices-BMC08, keepglue, 0, 1, 1, 0, 83.147632312, 89.8328690808, 82.3119777159, 10.5849582173, 1.18105849582, 0.742794460059, 0.593682828449, 0.843241612487, 0.207514028761, 0.191227846679, 0.223107352922
scenarios/CaDiCaL/slices-BMC08, keepsize, 0, 1, 1, 0, 83.9832869081, 90.3899721448, 84.5403899721, 10.4456824513, 1.16573816156, 0.876161987943, 0.676433227219, 0.95333493106, 0.233196872289, 0.218564466, 0.249061292892
scenarios/CaDiCaL/slices-BMC08, minimizedepth, 0, 1, 1, 0, 80.9192200557, 100.0, 98.8857938719, 10.5849582173, 1.0, 0.120860292627, -0.346321754887, 0.552947850539, 0.160501356566, 0.142198329838, 0.177448849845
scenarios/CaDiCaL/slices-BMC08, posize, 0, 1, 1, 0, 84.2618384401, 86.3509749304, 78.2729805014, 10.4456824513, 1.20473537604, 0.0667920721541, -0.350987183053, 0.518715435635, 0.191297110166, 0.175014169586, 0.207407757576
scenarios/CaDiCaL/slices-BMC08, probeinit, 0, 1, 1, 0, 84.2618384401, 94.7075208914, 90.8077994429, 10.4456824513, 1.05292479109, 0.335106479087, -0.283693683799, 0.812829607004, 0.213449547526, 0.195088822422, 0.232678219371
scenarios/CaDiCaL/slices-BMC08, probeint, 0, 1, 1, 0, 84.1225626741, 91.643454039, 87.3259052925, 10.4456824513, 1.13231197772, 0.284496328337, -0.38832695825, 0.787098379484, 0.144287933132, 0.127409608308, 0.16094878465
scenarios/CaDiCaL/slices-BMC08, probemaxeff, 0, 1, 1, 0, 80.2228412256, 99.860724234, 99.860724234, 10.5849582173, 1.00139275766, 0.3209420047, -0.15274396702, 0.674896574091, 0.153715931751, 0.135632085757, 0.17211820259
scenarios/CaDiCaL/slices-BMC08, probemineff, 0, 1, 1, 0, 81.0584958217, 100.0, 100.0, 10.5849582173, 1.0, 0.168419709163, -0.386782729571, 0.680913528245, 0.157916196323, 0.140830321708, 0.176419625185
scenarios/CaDiCaL/slices-BMC08, probereleff, 0, 1, 1, 0, 78.4122562674, 100.0, 100.0, 10.5849582173, 1.0, 0.197094236715, -0.314652288239, 0.557040071532, 0.153005481116, 0.136184756929, 0.169589598856
scenarios/CaDiCaL/slices-BMC08, reduceinc, 0, 1, 1, 0, 84.9582172702, 87.7437325905, 82.5905292479, 10.4456824513, 1.21727019499, 0.368807208671, 0.000310533044196, 0.707378270675, 0.1881989157, 0.172679259147, 0.204218961971
scenarios/CaDiCaL/slices-BMC08, reduceinit, 0, 1, 1, 0, 87.0473537604, 83.9832869081, 66.852367688, 10.4456824513, 1.21866295265, 0.687666489097, 0.134955993968, 0.930627815971, 0.356501250247, 0.341515350781, 0.371703081162
